timestamp,iteration,pps,burst,tx_pkts,rx_pkts,tx_bps_l1,rx_bps_l1,avg_latency_us,min_latency_us,max_latency_us,jitter_us,drops,ooo,dup,seq_too_high,seq_too_low
2025-08-15 15:49:47,3,1000,100000,100000,100000,0.0,0.0,65.000,17.000,109.000,3.000,0,0,0,0,0
2025-08-15 15:51:28,4,1000,100000,100000,100000,0.0,0.0,75.000,17.000,125.000,10.000,0,0,0,0,0
2025-08-15 15:53:08,5,1000,100000,100000,100000,0.0,0.0,76.000,17.000,113.000,4.000,0,0,0,0,0
2025-08-15 15:54:49,6,1000,100000,100000,100000,0.0,0.0,70.000,17.000,118.000,10.000,0,0,0,0,0
2025-08-15 15:56:29,7,1000,100000,100000,100000,0.0,0.0,74.000,17.000,110.000,7.000,0,0,0,0,0
2025-08-15 15:56:40,1,10000,100000,100000,100000,0.0,0.0,16.000,15.000,180.000,1.000,0,0,0,0,0
2025-08-15 15:56:51,2,10000,100000,100000,100000,0.0,0.0,16.000,13.000,69.000,0.000,0,0,0,0,0
2025-08-15 15:57:01,3,10000,100000,100000,100000,0.0,0.0,16.000,15.000,69.000,0.000,0,0,0,0,0
2025-08-15 15:57:12,4,10000,100000,100000,100000,0.0,0.0,16.000,15.000,64.000,0.000,0,0,0,0,0
2025-08-15 15:57:22,5,10000,100000,100000,100000,0.0,0.0,16.000,15.000,70.000,0.000,0,0,0,0,0
2025-08-15 15:57:33,6,10000,100000,100000,100000,0.0,0.0,16.000,12.000,72.000,0.000,0,0,0,0,0
2025-08-15 15:57:44,7,10000,100000,100000,100000,0.0,0.0,16.000,12.000,196.000,1.000,0,0,0,0,0
